Technique,Model,Mean Loss,Std Loss,Mean Acc
isotonic,Random Forest,104.4,13.108775686539152,0.562
sigmoid,Random Forest,107.4,21.434551546510136,0.575
isotonic,Linear SVM,113.0,12.457929201917949,0.563
sigmoid,Linear SVM,114.0,4.69041575982343,0.542
weight_based,Linear SVM,115.0,17.81010948871455,0.617
hybrid_cost_ratio,Linear SVM,119.2,9.325234581499814,0.54
isotonic,Gaussian NB,121.0,19.809088823063014,0.571
weight_based,Gaussian NB,123.0,14.449913494550755,0.617
hybrid_cost_ratio,Random Forest,126.2,13.555810562264435,0.665
sigmoid,Gaussian NB,130.4,20.244505427399307,0.42400000000000004
hybrid_cost_ratio,Gaussian NB,133.2,17.679366504487657,0.5820000000000001
baseline,Gaussian NB,137.2,14.551975810864997,0.6420000000000001
baseline,Linear SVM,173.0,12.457929201917949,0.751
baseline,Random Forest,202.6,6.374950980203691,0.7550000000000001
weight_based,Random Forest,205.8,11.338430226446693,0.759
